"TABLE 22: Vehicles in Use on Average Weekday Distributed by Age of Vehicle and by County"
""
"County","Model Year","Age of Vehicle","Num of Veh in Use","Percent of Vehicles","Cumulative Percent"
"California","2013","<1",43603,0.3,0.3
"California","2012","1",522091,3.5,3.7
"California","2011","2",639046,4.2,8
"California","2010","3",714918,4.7,12.7
"California","2009","4",685300,4.5,17.3
"California","2008","5",835404,5.5,22.8
"California","2007","6",1018094,6.7,29.5
"California","2006","7",1073579,7.1,36.6
"California","2005","8",1175860,7.8,44.4
"California","2004","9",996313,6.6,51
"California","2003","10",934795,6.2,57.2
"California","2002","11",919029,6.1,63.3
"California","2001","12",844487,5.6,68.9
"California","2000","13",846974,5.6,74.5
"California","1999","14",637895,4.2,78.7
"California","1998","15",511345,3.4,82.1
"California","1997","16",402999,2.7,84.8
"California","1996","17",323903,2.1,86.9
"California","1995","18",322030,2.1,89.1
"California","1994","19",222321,1.5,90.5
"California","1993","20",165672,1.1,91.6
"California","1992","21",166665,1.1,92.7
"California","1991 or Earlier",">21",673455,4.5,97.2
"California","Not Known","Unknown",421861,2.8,100
"California",NA,"TOTAL",15097639,NA,NA
"Alameda","2013","<1",1477,0.2,0.2
"Alameda","2012","1",25348,4.2,4.4
"Alameda","2011","2",20521,3.4,7.8
"Alameda","2010","3",26078,4.3,12.2
"Alameda","2009","4",28419,4.7,16.9
"Alameda","2008","5",26717,4.4,21.3
"Alameda","2007","6",38316,6.4,27.7
"Alameda","2006","7",43383,7.2,34.9
"Alameda","2005","8",42970,7.1,42
"Alameda","2004","9",41081,6.8,48.8
"Alameda","2003","10",47606,7.9,56.7
"Alameda","2002","11",30860,5.1,61.8
"Alameda","2001","12",39775,6.6,68.4
"Alameda","2000","13",28987,4.8,73.2
"Alameda","1999","14",20892,3.5,76.7
"Alameda","1998","15",21780,3.6,80.3
"Alameda","1997","16",16684,2.8,83
"Alameda","1996","17",10318,1.7,84.7
"Alameda","1995","18",12755,2.1,86.9
"Alameda","1994","19",12926,2.1,89
"Alameda","1993","20",8994,1.5,90.5
"Alameda","1992","21",9230,1.5,92
"Alameda","1991 or Earlier",">21",31077,5.2,97.2
"Alameda","Not Known","Unknown",17042,2.8,100
"Alameda",NA,"TOTAL",603235,NA,NA
"Alpine","2012","1",6,2.2,2.2
"Alpine","2009","4",45,16.1,18.3
"Alpine","2006","7",52,18.8,37.1
"Alpine","2003","10",22,7.9,45.1
"Alpine","2001","12",25,8.9,54
"Alpine","1996","17",51,18.1,72.2
"Alpine","1994","19",48,17.2,89.4
"Alpine","1992","21",22,7.9,97.3
"Alpine","1991 or Earlier",">21",7,2.7,100
"Alpine",NA,"TOTAL",279,NA,NA
"Amador","2012","1",234,1.5,1.5
"Amador","2011","2",1414,9.1,10.6
"Amador","2010","3",706,4.6,15.2
"Amador","2009","4",701,4.5,19.7
"Amador","2008","5",701,4.5,24.2
"Amador","2007","6",956,6.2,30.4
"Amador","2006","7",1585,10.2,40.6
"Amador","2005","8",636,4.1,44.8
"Amador","2004","9",847,5.5,50.2
"Amador","2003","10",1961,12.7,62.9
"Amador","2002","11",1095,7.1,70
"Amador","2001","12",459,3,72.9
"Amador","2000","13",1195,7.7,80.6
"Amador","1999","14",809,5.2,85.8
"Amador","1997","16",158,1,86.9
"Amador","1996","17",451,2.9,89.8
"Amador","1995","18",283,1.8,91.6
"Amador","1994","19",29,0.2,91.8
"Amador","1993","20",130,0.8,92.6
"Amador","1991 or Earlier",">21",1106,7.1,99.8
"Amador","Not Known","Unknown",35,0.2,100
"Amador",NA,"TOTAL",15492,NA,NA
"Butte","2012","1",2021,2,2
"Butte","2011","2",2776,2.8,4.8
"Butte","2010","3",1904,1.9,6.8
"Butte","2009","4",1860,1.9,8.7
"Butte","2008","5",3056,3.1,11.7
"Butte","2007","6",6606,6.7,18.4
"Butte","2006","7",3802,3.8,22.3
"Butte","2005","8",8403,8.5,30.8
"Butte","2004","9",5877,5.9,36.7
"Butte","2003","10",7708,7.8,44.5
"Butte","2002","11",5265,5.3,49.8
"Butte","2001","12",7409,7.5,57.3
"Butte","2000","13",9573,9.7,67
"Butte","1999","14",6830,6.9,73.9
"Butte","1998","15",3346,3.4,77.3
"Butte","1997","16",4352,4.4,81.7
"Butte","1996","17",3056,3.1,84.8
"Butte","1995","18",1201,1.2,86
"Butte","1994","19",3459,3.5,89.5
"Butte","1993","20",716,0.7,90.2
"Butte","1992","21",670,0.7,90.9
"Butte","1991 or Earlier",">21",6666,6.7,97.6
"Butte","Not Known","Unknown",2374,2.4,100
"Butte",NA,"TOTAL",98928,NA,NA
"Calaveras","2012","1",820,3.7,3.7
"Calaveras","2011","2",849,3.8,7.5
"Calaveras","2010","3",1136,5.1,12.6
"Calaveras","2009","4",539,2.4,15
"Calaveras","2008","5",637,2.9,17.9
"Calaveras","2007","6",1309,5.9,23.8
"Calaveras","2006","7",2239,10.1,33.8
"Calaveras","2005","8",1576,7.1,40.9
"Calaveras","2004","9",1276,5.7,46.7
"Calaveras","2003","10",1441,6.5,53.1
"Calaveras","2002","11",1404,6.3,59.5
"Calaveras","2001","12",2153,9.7,69.1
"Calaveras","2000","13",1641,7.4,76.5
"Calaveras","1999","14",258,1.2,77.7
"Calaveras","1998","15",1066,4.8,82.5
"Calaveras","1997","16",912,4.1,86.6
"Calaveras","1996","17",566,2.5,89.1
"Calaveras","1995","18",503,2.3,91.4
"Calaveras","1994","19",824,3.7,95.1
"Calaveras","1992","21",325,1.5,96.5
"Calaveras","1991 or Earlier",">21",583,2.6,99.1
"Calaveras","Not Known","Unknown",189,0.9,100
"Calaveras",NA,"TOTAL",22247,NA,NA
"Colusa","2012","1",109,1.4,1.4
"Colusa","2011","2",123,1.6,2.9
"Colusa","2010","3",843,10.7,13.6
"Colusa","2009","4",434,5.5,19.1
"Colusa","2008","5",376,4.7,23.8
"Colusa","2007","6",261,3.3,27.1
"Colusa","2006","7",317,4,31.1
"Colusa","2005","8",147,1.9,33
"Colusa","2004","9",291,3.7,36.7
"Colusa","2003","10",639,8.1,44.7
"Colusa","2002","11",1221,15.4,60.2
"Colusa","2001","12",228,2.9,63.1
"Colusa","2000","13",579,7.3,70.4
"Colusa","1999","14",308,3.9,74.3
"Colusa","1998","15",767,9.7,84
"Colusa","1996","17",315,4,87.9
"Colusa","1995","18",55,0.7,88.6
"Colusa","1994","19",208,2.6,91.3
"Colusa","1991 or Earlier",">21",584,7.4,98.6
"Colusa","Not Known","Unknown",108,1.4,100
"Colusa",NA,"TOTAL",7909,NA,NA
"Contra Costa","2013","<1",974,0.2,0.2
"Contra Costa","2012","1",17026,3.5,3.7
"Contra Costa","2011","2",22580,4.6,8.2
"Contra Costa","2010","3",24636,5,13.2
"Contra Costa","2009","4",19205,3.9,17.1
"Contra Costa","2008","5",23335,4.7,21.9
"Contra Costa","2007","6",31937,6.5,28.4
"Contra Costa","2006","7",34202,6.9,35.3
"Contra Costa","2005","8",39982,8.1,43.4
"Contra Costa","2004","9",30424,6.2,49.6
"Contra Costa","2003","10",28804,5.8,55.5
"Contra Costa","2002","11",31976,6.5,62
"Contra Costa","2001","12",30225,6.1,68.1
"Contra Costa","2000","13",34880,7.1,75.2
"Contra Costa","1999","14",19575,4,79.1
"Contra Costa","1998","15",21482,4.4,83.5
"Contra Costa","1997","16",13135,2.7,86.2
"Contra Costa","1996","17",9733,2,88.2
"Contra Costa","1995","18",11132,2.3,90.4
"Contra Costa","1994","19",7502,1.5,91.9
"Contra Costa","1993","20",4866,1,92.9
"Contra Costa","1992","21",4199,0.9,93.8
"Contra Costa","1991 or Earlier",">21",20544,4.2,98
"Contra Costa","Not Known","Unknown",10085,2,100
"Contra Costa",NA,"TOTAL",492439,NA,NA
"Del Norte","2013","<1",9,0.1,0.1
"Del Norte","2012","1",81,0.8,0.9
"Del Norte","2011","2",725,7.4,8.4
"Del Norte","2010","3",246,2.5,10.9
"Del Norte","2009","4",170,1.7,12.6
"Del Norte","2008","5",437,4.5,17.1
"Del Norte","2007","6",633,6.5,23.6
"Del Norte","2006","7",410,4.2,27.8
"Del Norte","2005","8",799,8.2,36
"Del Norte","2004","9",812,8.3,44.3
"Del Norte","2003","10",724,7.4,51.7
"Del Norte","2002","11",448,4.6,56.3
"Del Norte","2001","12",51,0.5,56.8
"Del Norte","2000","13",346,3.5,60.4
"Del Norte","1999","14",438,4.5,64.8
"Del Norte","1998","15",708,7.2,72.1
"Del Norte","1997","16",896,9.2,81.3
"Del Norte","1996","17",43,0.4,81.7
"Del Norte","1995","18",298,3.1,84.8
"Del Norte","1994","19",217,2.2,87
"Del Norte","1993","20",509,5.2,92.2
"Del Norte","1992","21",70,0.7,92.9
"Del Norte","1991 or Earlier",">21",461,4.7,97.6
"Del Norte","Not Known","Unknown",230,2.4,100
"Del Norte",NA,"TOTAL",9765,NA,NA
"El Dorado","2012","1",2351,2.8,2.8
"El Dorado","2011","2",6135,7.2,10
"El Dorado","2010","3",2287,2.7,12.6
"El Dorado","2009","4",5532,6.5,19.1
"El Dorado","2008","5",6351,7.5,26.6
"El Dorado","2007","6",3879,4.6,31.1
"El Dorado","2006","7",6286,7.4,38.5
"El Dorado","2005","8",6653,7.8,46.3
"El Dorado","2004","9",6828,8,54.4
"El Dorado","2003","10",4029,4.7,59.1
"El Dorado","2002","11",4331,5.1,64.2
"El Dorado","2001","12",4341,5.1,69.3
"El Dorado","2000","13",5290,6.2,75.5
"El Dorado","1999","14",5781,6.8,82.3
"El Dorado","1998","15",1845,2.2,84.4
"El Dorado","1997","16",2470,2.9,87.3
"El Dorado","1996","17",793,0.9,88.3
"El Dorado","1995","18",1837,2.2,90.4
"El Dorado","1994","19",728,0.9,91.3
"El Dorado","1993","20",1965,2.3,93.6
"El Dorado","1992","21",114,0.1,93.7
"El Dorado","1991 or Earlier",">21",5291,6.2,99.9
"El Dorado","Not Known","Unknown",76,0.1,100
"El Dorado",NA,"TOTAL",85192,NA,NA
"Fresno","2013","<1",131,0,0
"Fresno","2012","1",9265,2.7,2.7
"Fresno","2011","2",14637,4.3,7
"Fresno","2010","3",13349,3.9,10.9
"Fresno","2009","4",15567,4.5,15.4
"Fresno","2008","5",12887,3.8,19.2
"Fresno","2007","6",24466,7.1,26.3
"Fresno","2006","7",18742,5.5,31.7
"Fresno","2005","8",27485,8,39.8
"Fresno","2004","9",21849,6.4,46.1
"Fresno","2003","10",22624,6.6,52.7
"Fresno","2002","11",25097,7.3,60
"Fresno","2001","12",17573,5.1,65.1
"Fresno","2000","13",15200,4.4,69.5
"Fresno","1999","14",21190,6.2,75.7
"Fresno","1998","15",16440,4.8,80.5
"Fresno","1997","16",11046,3.2,83.7
"Fresno","1996","17",8275,2.4,86.1
"Fresno","1995","18",7217,2.1,88.2
"Fresno","1994","19",895,0.3,88.5
"Fresno","1993","20",6775,2,90.5
"Fresno","1992","21",4876,1.4,91.9
"Fresno","1991 or Earlier",">21",19568,5.7,97.6
"Fresno","Not Known","Unknown",8311,2.4,100
"Fresno",NA,"TOTAL",343464,NA,NA
"Glenn","2012","1",711,6.2,6.2
"Glenn","2011","2",340,3,9.1
"Glenn","2010","3",412,3.6,12.7
"Glenn","2009","4",167,1.5,14.2
"Glenn","2008","5",289,2.5,16.7
"Glenn","2007","6",607,5.3,22
"Glenn","2006","7",466,4,26
"Glenn","2005","8",874,7.6,33.6
"Glenn","2004","9",185,1.6,35.2
"Glenn","2003","10",911,7.9,43.1
"Glenn","2002","11",993,8.6,51.7
